,cit,h-cit,refs,authors,sensors,frames,Altmetric,readers,InfluenceScore
Waymo Block-NeRF,0.7,0.53,0.95,0.87,,,1.0,0.89,0.82
SHIFT,0.25,0.2,0.99,0.88,0.77,0.94,0.65,0.42,0.62
Street Hazards,0.67,0.58,0.83,0.92,0.25,0.16,0.73,0.45,0.62
KITTI-360-APS,0.23,0.06,0.68,0.67,0.25,0.56,0.97,0.21,0.48
ScribbleKITTI,0.2,0.15,0.83,0.97,0.25,0.32,0.63,0.02,0.45
BDD100K-APS,0.23,0.06,0.68,0.67,0.25,0.1,0.97,0.21,0.42
Ithaca365,0.15,0.15,0.68,0.22,0.58,0.82,0.53,0.26,0.4
CODA,0.2,0.15,0.75,0.36,0.25,,0.53,0.33,0.39
Rope3D,0.15,0.15,0.83,0.42,0.58,0.53,0.25,0.25,0.37
Comma2k19 LD,0.12,0.15,0.71,0.56,,,0.64,0.02,0.37
RoadSaW,0.09,0.06,0.27,0.19,0.25,0.83,,,0.29
K-Radar,0.09,0.06,0.47,0.11,0.93,0.44,0.4,0.26,0.26
CARLA-WildLife (CWL),0.03,0.06,0.92,0.12,0.25,,0.34,0.08,0.26
AugKITTI,0.03,0.06,0.88,0.16,,,0.25,0.1,0.25
WildDash 2,0.17,0.2,0.52,0.08,0.25,,,,0.24
MONA: The Munich Motion Dataset of Natural Driving,0.03,0.06,0.36,0.48,0.25,,,,0.23
Street Obstacle Sequences (SOS),0.03,0.06,0.92,0.12,0.25,0.07,0.34,0.08,0.23
HDBD,0.03,0.06,0.16,0.64,0.58,,,,0.22
GLARE,0.03,0.06,0.47,0.29,,,0.42,0.06,0.22
Boreas,0.29,0.25,0.14,0.2,,,,,0.22
Autonomous Platform Inertial,0.2,0.25,0.36,0.03,,,,,0.21
aiMotive,0.03,0.06,0.33,0.04,0.93,0.41,0.44,0.13,0.2
CarlaScenes,0.03,0.06,0.52,0.2,0.77,,,,0.2
LUMPI,0.09,0.06,0.02,0.07,0.58,0.74,,,0.19
A9,0.25,0.25,0.14,0.1,0.58,,0.29,0.12,0.19
Amodal Cityscapes,0.09,0.06,0.27,0.43,0.25,0.11,0.29,0.08,0.19
R-U-MAAD,0.03,0.06,0.33,0.35,0.25,,0.15,0.06,0.16
TJ4DRadSet,0.12,0.15,0.14,0.05,,,0.42,0.02,0.15
OpenMPD,0.18,0.15,0.02,0.07,0.58,0.27,,,0.14
I see you,0.03,0.06,0.09,0.01,,,0.44,0.08,0.12
SceNDD,0.09,0.06,0.16,0.19,,,0.15,0.02,0.11
exiD,0.12,0.06,0.02,0.24,0.25,,,,0.11
